edge_type_id target_query source_query dynamics_params model_template delay target_sections syn_weight distance_range
100 pop_name=='Bask' "pop_name=='['PyrA', 'PyrC']'" AMPA_ExcToExc.json Exp2Syn 2.0 ['somatic'] 0.005 "[0.0, 300.0]"
101 "pop_name=='['PyrA', 'PyrC']'" pop_name=='Bask' GABA_InhToExc.json Exp2Syn 2.0 ['somatic'] 0.005 "[0.0, 300.0]"
